Year,,Mehmanxana (hotel) və mehmanxana tipli obyektlərin gəlirləri (min manat),Nömrələrin satışından daxil olan gəlir (min manat),İctimai iaşə xidmətlərindən əldə edilən gəlir (min manat),Müalicə-sağlamlıq xarakterli xidmətlərdən əldə olunan gəlir (min manat),Sair gəlirlər (min manat),Mehmanxana (hotel) və mehmanxana tipli obyektlərin xərcləri (min manat),Bütün növ yanacaq və enerji xərcləri (min manat),İçkilərin və yeməklərin hazırlanması üçün alınan mallara çəkilən xərclər (min manat),Əməkhaqqı xərcləri (min manat),Suyun alınmasına çəkilən xərclər (min manat),İcarə ödəmələri (min manat),Büdcəyə ödənlən vergilər (min manat),Əsas vəsaitlərin cari təmirinə sərf olunan xərclər (min manat),Digər xərclər (min manat)
2024,,694162.2,454544.6,170058.0,17588.9,51970.7,510413.7,28698.1,78142.7,161861.0,3658.5,11404.7,38450.2,7033.8,181164.7
2023,,488828.0,293523.7,135442.2,16829.1,43033.0,390095.1,26312.5,65135.1,132154.7,3053.5,12552.6,29281.8,4094.7,117510.2
2022,,355322.1,211666.8,100885.5,10602.7,32167.1,296805.6,20921.5,50598.4,96049.7,2533.5,8404.6,25145.2,3952.6,89200.1
2021,,209687.3,125166.7,60783.6,5174.5,18562.5,231468.0,15702.9,32214.6,74654.6,1896.0,3391.5,12819.6,3145.0,87643.8
2020,,116798.0,70273.9,33928.0,2895.4,9700.7,171805.1,11622.5,19456.2,68315.8,1463.5,3797.8,15018.2,1515.0,50616.1
2019,,450188.5,297193.7,116304.3,9680.0,27010.5,308342.5,19897.1,49446.1,92745.5,3122.3,5714.2,42252.4,3330.2,91834.7
2018,,359453.0,240302.1,86310.7,11928.3,20911.9,277680.5,19575.2,44803.5,78977.7,2697.6,4250.3,33323.1,3935.6,90117.5
2017,,284453.9,192962.9,63303.0,5386.3,22801.7,222192.9,16849.9,35977.2,66712.6,2352.4,2362.3,16473.4,4596.2,76868.9
2016,,240112.6,144751.3,61289.7,2309.4,31762.2,204852.3,19030.8,35623.5,61281.2,1779.4,1731.7,14248.1,2820.3,68337.3
2015,,183055.1,115921.9,43521.3,2509.2,21102.7,171730.8,11584.0,27149.0,52353.4,1253.6,2410.8,11564.4,2447.2,62968.4
2014,,181047.3,117072.1,43019.7,2379.5,18576.0,147068.1,8781.0,23576.5,46008.7,1489.3,2408.5,10602.3,4921.5,49280.3
2013,,171255.9,110808.4,40022.8,2001.0,18423.7,145468.3,7697.3,24187.0,44406.1,1299.4,2321.6,10016.1,4741.7,50799.1
2012,,153980.9,110641.5,28872.3,2630.8,11836.3,110684.0,5902.2,18090.1,27389.2,1028.7,1792.4,6187.1,4801.2,45493.1
2011,,114686.1,87817.6,18118.4,2419.5,6330.6,88680.4,5484.5,14529.4,18222.2,539.6,728.9,3242.2,4866.2,41067.4
2010,,105888.8,71676.0,19505.0,7701.5,7006.3,87879.9,2504.2,10320.1,17344.5,517.2,655.1,2886.2,4406.9,49245.7
2009,,97002.9,63667.6,18754.9,7615.0,6965.4,82302.9,2789.8,9903.2,15044.1,484.7,627.9,2771.3,3304.0,47377.9
2008,,98584.2,66705.0,20632.6,6639.6,4607.0,91707.8,2406.0,8011.7,12898.0,453.7,607.9,2792.8,3416.9,61120.8
2007,,89785.3,61988.7,18247.4,6627.8,2921.4,80020.3,2145.7,7393.2,10795.9,436.4,562.3,2010.7,2918.8,53757.3
2006,,74342.4,52300.7,13426.4,4593.0,4022.3,50012.0,1675.2,6699.2,9630.4,379.3,508.3,2150.1,2316.4,26653.1
2005,,66510.9,47435.7,11364.3,5533.7,2177.2,47312.0,-,-,8987.0,-,-,1104.6,7920.2,29300.2
2004,,54326.5,40531.8,9088.6,2812.1,1894.0,37385.7,-,-,7615.7,-,-,1102.3,7860.3,20807.4
2003,,41770.5,31368.1,7011.8,1748.9,1641.7,31072.1,-,-,4868.7,-,-,876.2,12699.4,12627.8
2002,,26129.7,18805.7,4658.1,1412.9,1253.0,22991.7,-,-,3253.8,-,-,678.5,2835.5,16223.9
2001,,23201.1,11984.8,3617.0,1150.6,6448.7,22699.3,-,-,3411.7,-,-,780.1,0.0,18507.5
